Epoch:    1 Error:  26.34212, train_ok:   0/204, test_ok:   0/52
Epoch:    2 Error:  26.43928, train_ok:   0/204, test_ok:   0/52
Epoch:    3 Error:  26.93725, train_ok:   0/204, test_ok:   0/52
Epoch:    4 Error:  25.60378, train_ok:   0/204, test_ok:   0/52
Epoch:    5 Error:  25.68924, train_ok:   0/204, test_ok:   0/52
Epoch:    6 Error:  25.59767, train_ok:   0/204, test_ok:   0/52
Epoch:    7 Error:  26.72573, train_ok:   0/204, test_ok:   0/52
Epoch:    8 Error:  25.49936, train_ok:   0/204, test_ok:   0/52
Epoch:    9 Error:  26.03023, train_ok:   0/204, test_ok:   0/52
Epoch:   10 Error:  25.54167, train_ok:   0/204, test_ok:   0/52
Epoch:   11 Error:  26.46508, train_ok:   0/204, test_ok:   0/52
Epoch:   12 Error:  25.54761, train_ok:   0/204, test_ok:   0/52
Epoch:   13 Error:  25.65440, train_ok:   0/204, test_ok:   0/52
Epoch:   14 Error:  26.81035, train_ok:   0/204, test_ok:   0/52
Epoch:   15 Error:  25.67965, train_ok:   0/204, test_ok:   0/52
Epoch:   16 Error:  25.88670, train_ok:   0/204, test_ok:   0/52
Epoch:   17 Error:  25.48991, train_ok:   0/204, test_ok:   0/52
Epoch:   18 Error:  25.69313, train_ok:   0/204, test_ok:   0/52
Epoch:   19 Error:  25.85906, train_ok:   0/204, test_ok:   0/52
Epoch:   20 Error:  26.15782, train_ok:   0/204, test_ok:   0/52
Epoch:   21 Error:  25.53416, train_ok:   0/204, test_ok:   0/52
Epoch:   22 Error:  26.99556, train_ok:   0/204, test_ok:   0/52
Epoch:   23 Error:  27.81989, train_ok:   0/204, test_ok:   0/52
Epoch:   24 Error:  27.22148, train_ok:   0/204, test_ok:   0/52
Epoch:   25 Error:  25.49536, train_ok:   0/204, test_ok:   0/52
Epoch:   26 Error:  25.50014, train_ok:   0/204, test_ok:   0/52
Epoch:   27 Error:  25.60583, train_ok:   0/204, test_ok:   0/52
Epoch:   28 Error:  25.62266, train_ok:   0/204, test_ok:   0/52
Epoch:   29 Error:  25.62307, train_ok:   0/204, test_ok:   0/52
Epoch:   30 Error:  25.72354, train_ok:   0/204, test_ok:   0/52
Epoch:   31 Error:  26.16550, train_ok:   0/204, test_ok:   0/52
Epoch:   32 Error:  25.86382, train_ok:   0/204, test_ok:   0/52
Epoch:   33 Error:  26.74079, train_ok:   0/204, test_ok:   0/52
Epoch:   34 Error:  25.77864, train_ok:   0/204, test_ok:   0/52
Epoch:   35 Error:  25.48948, train_ok:   0/204, test_ok:   0/52
Epoch:   36 Error:  25.58434, train_ok:   0/204, test_ok:   0/52
Epoch:   37 Error:  26.76313, train_ok:   0/204, test_ok:   0/52
