Epoch:    1 Error:  28.84761, train_ok:   0/204, test_ok:   0/52
Epoch:    2 Error:  26.92178, train_ok:   0/204, test_ok:   0/52
Epoch:    3 Error:  27.67388, train_ok:   0/204, test_ok:   0/52
Epoch:    4 Error:  25.59068, train_ok:   0/204, test_ok:   0/52
Epoch:    5 Error:  25.65169, train_ok:   0/204, test_ok:   0/52
Epoch:    6 Error:  25.45002, train_ok:   0/204, test_ok:   0/52
Epoch:    7 Error:  26.80405, train_ok:   0/204, test_ok:   0/52
Epoch:    8 Error:  25.35180, train_ok:   0/204, test_ok:   0/52
Epoch:    9 Error:  25.95279, train_ok:   0/204, test_ok:   0/52
Epoch:   10 Error:  25.39777, train_ok:   0/204, test_ok:   0/52
Epoch:   11 Error:  26.42210, train_ok:   0/204, test_ok:   0/52
Epoch:   12 Error:  25.40284, train_ok:   0/204, test_ok:   0/52
Epoch:   13 Error:  25.55651, train_ok:   0/204, test_ok:   0/52
Epoch:   14 Error:  26.68045, train_ok:   0/204, test_ok:   0/52
Epoch:   15 Error:  25.48566, train_ok:   0/204, test_ok:   0/52
Epoch:   16 Error:  25.69887, train_ok:   0/204, test_ok:   0/52
Epoch:   17 Error:  25.32520, train_ok:   0/204, test_ok:   0/52
Epoch:   18 Error:  25.56182, train_ok:   0/204, test_ok:   0/52
Epoch:   19 Error:  25.70767, train_ok:   0/204, test_ok:   0/52
Epoch:   20 Error:  26.07255, train_ok:   0/204, test_ok:   0/52
Epoch:   21 Error:  25.36156, train_ok:   0/204, test_ok:   0/52
Epoch:   22 Error:  26.98419, train_ok:   0/204, test_ok:   0/52
Epoch:   23 Error:  27.82326, train_ok:   0/204, test_ok:   0/52
Epoch:   24 Error:  27.28294, train_ok:   0/204, test_ok:   0/52
Epoch:   25 Error:  25.31614, train_ok:   0/204, test_ok:   0/52
Epoch:   26 Error:  25.29099, train_ok:   0/204, test_ok:   0/52
Epoch:   27 Error:  25.40721, train_ok:   0/204, test_ok:   0/52
Epoch:   28 Error:  25.40974, train_ok:   0/204, test_ok:   0/52
Epoch:   29 Error:  25.39925, train_ok:   0/204, test_ok:   0/52
Epoch:   30 Error:  25.49070, train_ok:   0/204, test_ok:   0/52
Epoch:   31 Error:  26.00651, train_ok:   0/204, test_ok:   0/52
Epoch:   32 Error:  25.64666, train_ok:   0/204, test_ok:   0/52
Epoch:   33 Error:  26.52027, train_ok:   0/204, test_ok:   0/52
Epoch:   34 Error:  25.52695, train_ok:   0/204, test_ok:   0/52
Epoch:   35 Error:  25.24526, train_ok:   0/204, test_ok:   0/52
Epoch:   36 Error:  25.33165, train_ok:   0/204, test_ok:   0/52
Epoch:   37 Error:  26.67935, train_ok:   0/204, test_ok:   0/52
Epoch:   38 Error:  25.36815, train_ok:   0/204, test_ok:   0/52
Epoch:   39 Error:  25.26029, train_ok:   0/204, test_ok:   0/52
Epoch:   40 Error:  25.36768, train_ok:   0/204, test_ok:   0/52
Epoch:   41 Error:  27.02666, train_ok:   0/204, test_ok:   0/52
Epoch:   42 Error:  25.22950, train_ok:   0/204, test_ok:   0/52
Epoch:   43 Error:  27.73919, train_ok:   0/204, test_ok:   0/52
Epoch:   44 Error:  26.64377, train_ok:   0/204, test_ok:   0/52
Epoch:   45 Error:  25.69082, train_ok:   0/204, test_ok:   0/52
Epoch:   46 Error:  25.59292, train_ok:   0/204, test_ok:   0/52
Epoch:   47 Error:  26.84944, train_ok:   0/204, test_ok:   0/52
Epoch:   48 Error:  26.89717, train_ok:   0/204, test_ok:   0/52
Epoch:   49 Error:  26.94144, train_ok:   0/204, test_ok:   0/52
Epoch:   50 Error:  25.64280, train_ok:   0/204, test_ok:   0/52
Epoch:   51 Error:  25.22445, train_ok:   0/204, test_ok:   0/52
Epoch:   52 Error:  26.19985, train_ok:   0/204, test_ok:   0/52
Epoch:   53 Error:  25.38004, train_ok:   0/204, test_ok:   0/52
Epoch:   54 Error:  27.72585, train_ok:   0/204, test_ok:   0/52
Epoch:   55 Error:  25.28079, train_ok:   0/204, test_ok:   0/52
Epoch:   56 Error:  25.24817, train_ok:   0/204, test_ok:   0/52
Epoch:   57 Error:  25.24138, train_ok:   0/204, test_ok:   0/52
Epoch:   58 Error:  25.84145, train_ok:   0/204, test_ok:   0/52
Epoch:   59 Error:  25.32057, train_ok:   0/204, test_ok:   0/52
Epoch:   60 Error:  26.34994, train_ok:   0/204, test_ok:   0/52
Epoch:   61 Error:  25.88561, train_ok:   0/204, test_ok:   0/52
Epoch:   62 Error:  29.44358, train_ok:   0/204, test_ok:   0/52
Epoch:   63 Error:  25.19533, train_ok:   0/204, test_ok:   0/52
Epoch:   64 Error:  26.00011, train_ok:   0/204, test_ok:   0/52
Epoch:   65 Error:  25.45277, train_ok:   0/204, test_ok:   0/52
Epoch:   66 Error:  25.22536, train_ok:   0/204, test_ok:   0/52
Epoch:   67 Error:  25.19316, train_ok:   0/204, test_ok:   0/52
Epoch:   68 Error:  25.58759, train_ok:   0/204, test_ok:   0/52
Epoch:   69 Error:  25.51681, train_ok:   0/204, test_ok:   0/52
Epoch:   70 Error:  25.48554, train_ok:   0/204, test_ok:   0/52
Epoch:   71 Error:  25.15599, train_ok:   0/204, test_ok:   0/52
Epoch:   72 Error:  26.50780, train_ok:   0/204, test_ok:   0/52
Epoch:   73 Error:  25.27821, train_ok:   0/204, test_ok:   0/52
Epoch:   74 Error:  25.35325, train_ok:   0/204, test_ok:   0/52
Epoch:   75 Error:  25.72824, train_ok:   0/204, test_ok:   0/52
Epoch:   76 Error:  25.50418, train_ok:   0/204, test_ok:   0/52
Epoch:   77 Error:  25.90771, train_ok:   0/204, test_ok:   0/52
Epoch:   78 Error:  25.35035, train_ok:   0/204, test_ok:   0/52
Epoch:   79 Error:  25.15307, train_ok:   0/204, test_ok:   0/52
Epoch:   80 Error:  25.26449, train_ok:   0/204, test_ok:   0/52
Epoch:   81 Error:  25.13086, train_ok:   0/204, test_ok:   0/52
Epoch:   82 Error:  25.14336, train_ok:   0/204, test_ok:   0/52
Epoch:   83 Error:  26.66022, train_ok:   0/204, test_ok:   0/52
Epoch:   84 Error:  29.95683, train_ok:   0/204, test_ok:   0/52
Epoch:   85 Error:  25.18635, train_ok:   0/204, test_ok:   0/52
Epoch:   86 Error:  25.90770, train_ok:   0/204, test_ok:   0/52
Epoch:   87 Error:  26.65472, train_ok:   0/204, test_ok:   0/52
Epoch:   88 Error:  25.21274, train_ok:   0/204, test_ok:   0/52
Epoch:   89 Error:  25.63659, train_ok:   0/204, test_ok:   0/52
Epoch:   90 Error:  25.56572, train_ok:   0/204, test_ok:   0/52
Epoch:   91 Error:  25.13138, train_ok:   0/204, test_ok:   0/52
Epoch:   92 Error:  27.12491, train_ok:   0/204, test_ok:   0/52
Epoch:   93 Error:  25.96555, train_ok:   0/204, test_ok:   0/52
Epoch:   94 Error:  25.28310, train_ok:   0/204, test_ok:   0/52
Epoch:   95 Error:  25.51969, train_ok:   0/204, test_ok:   0/52
Epoch:   96 Error:  26.31773, train_ok:   0/204, test_ok:   0/52
Epoch:   97 Error:  25.41640, train_ok:   0/204, test_ok:   0/52
Epoch:   98 Error:  25.52030, train_ok:   0/204, test_ok:   0/52
Epoch:   99 Error:  27.21275, train_ok:   0/204, test_ok:   0/52
Epoch:  100 Error:  25.53343, train_ok:   0/204, test_ok:   0/52
Epoch:  101 Error:  25.06915, train_ok:   0/204, test_ok:   0/52
Epoch:  102 Error:  25.03112, train_ok:   0/204, test_ok:   0/52
Epoch:  103 Error:  25.24304, train_ok:   0/204, test_ok:   0/52
Epoch:  104 Error:  25.22848, train_ok:   0/204, test_ok:   0/52
Epoch:  105 Error:  25.44292, train_ok:   0/204, test_ok:   0/52
Epoch:  106 Error:  26.45946, train_ok:   0/204, test_ok:   0/52
Epoch:  107 Error:  25.61564, train_ok:   0/204, test_ok:   0/52
Epoch:  108 Error:  25.06189, train_ok:   0/204, test_ok:   0/52
Epoch:  109 Error:  25.83597, train_ok:   0/204, test_ok:   0/52
Epoch:  110 Error:  26.15466, train_ok:   0/204, test_ok:   0/52
Epoch:  111 Error:  24.95262, train_ok:   0/204, test_ok:   0/52
Epoch:  112 Error:  25.40905, train_ok:   0/204, test_ok:   0/52
Epoch:  113 Error:  24.97129, train_ok:   0/204, test_ok:   0/52
Epoch:  114 Error:  25.20860, train_ok:   0/204, test_ok:   0/52
Epoch:  115 Error:  26.77604, train_ok:   0/204, test_ok:   0/52
Epoch:  116 Error:  24.98110, train_ok:   0/204, test_ok:   0/52
Epoch:  117 Error:  26.71351, train_ok:   0/204, test_ok:   0/52
Epoch:  118 Error:  24.91630, train_ok:   0/204, test_ok:   0/52
Epoch:  119 Error:  25.45183, train_ok:   0/204, test_ok:   0/52
Epoch:  120 Error:  25.04305, train_ok:   0/204, test_ok:   0/52
Epoch:  121 Error:  25.12243, train_ok:   0/204, test_ok:   0/52
Epoch:  122 Error:  25.06895, train_ok:   0/204, test_ok:   0/52
Epoch:  123 Error:  24.86415, train_ok:   0/204, test_ok:   0/52
Epoch:  124 Error:  24.80369, train_ok:   0/204, test_ok:   0/52
Epoch:  125 Error:  24.82765, train_ok:   0/204, test_ok:   0/52
Epoch:  126 Error:  24.93666, train_ok:   0/204, test_ok:   0/52
Epoch:  127 Error:  24.78377, train_ok:   0/204, test_ok:   0/52
Epoch:  128 Error:  25.07493, train_ok:   0/204, test_ok:   0/52
Epoch:  129 Error:  25.89593, train_ok:   0/204, test_ok:   0/52
Epoch:  130 Error:  25.43610, train_ok:   0/204, test_ok:   0/52
Epoch:  131 Error:  24.80883, train_ok:   0/204, test_ok:   0/52
Epoch:  132 Error:  25.02595, train_ok:   0/204, test_ok:   0/52
Epoch:  133 Error:  24.64893, train_ok:   0/204, test_ok:   0/52
Epoch:  134 Error:  26.19361, train_ok:   0/204, test_ok:   0/52
Epoch:  135 Error:  26.08048, train_ok:   0/204, test_ok:   0/52
Epoch:  136 Error:  24.59344, train_ok:   0/204, test_ok:   0/52
Epoch:  137 Error:  25.92611, train_ok:   0/204, test_ok:   0/52
Epoch:  138 Error:  24.62609, train_ok:   0/204, test_ok:   0/52
Epoch:  139 Error:  25.19595, train_ok:   0/204, test_ok:   0/52
Epoch:  140 Error:  25.62529, train_ok:   0/204, test_ok:   0/52
Epoch:  141 Error:  25.00499, train_ok:   0/204, test_ok:   0/52
Epoch:  142 Error:  24.48426, train_ok:   0/204, test_ok:   0/52
Epoch:  143 Error:  24.49442, train_ok:   0/204, test_ok:   0/52
Epoch:  144 Error:  24.83987, train_ok:   0/204, test_ok:   0/52
Epoch:  145 Error:  24.75460, train_ok:   0/204, test_ok:   0/52
Epoch:  146 Error:  24.85400, train_ok:   0/204, test_ok:   0/52
Epoch:  147 Error:  24.64054, train_ok:   0/204, test_ok:   0/52
Epoch:  148 Error:  24.38354, train_ok:   0/204, test_ok:   0/52
Epoch:  149 Error:  24.97618, train_ok:   0/204, test_ok:   0/52
Epoch:  150 Error:  24.35613, train_ok:   0/204, test_ok:   0/52
