Epoch:    1 Error:  26.66780, train_ok:   0/204, test_ok:   0/52
Epoch:    2 Error:  26.62569, train_ok:   0/204, test_ok:   0/52
Epoch:    3 Error:  27.63387, train_ok:   0/204, test_ok:   0/52
Epoch:    4 Error:  25.58924, train_ok:   0/204, test_ok:   0/52
Epoch:    5 Error:  25.69779, train_ok:   0/204, test_ok:   0/52
Epoch:    6 Error:  25.57755, train_ok:   0/204, test_ok:   0/52
Epoch:    7 Error:  26.94708, train_ok:   0/204, test_ok:   0/52
Epoch:    8 Error:  25.48825, train_ok:   0/204, test_ok:   0/52
Epoch:    9 Error:  26.23586, train_ok:   0/204, test_ok:   0/52
Epoch:   10 Error:  25.55519, train_ok:   0/204, test_ok:   0/52
Epoch:   11 Error:  27.04391, train_ok:   0/204, test_ok:   0/52
Epoch:   12 Error:  25.56709, train_ok:   0/204, test_ok:   0/52
Epoch:   13 Error:  25.67086, train_ok:   0/204, test_ok:   0/52
Epoch:   14 Error:  27.10117, train_ok:   0/204, test_ok:   0/52
Epoch:   15 Error:  25.64739, train_ok:   0/204, test_ok:   0/52
Epoch:   16 Error:  26.06530, train_ok:   0/204, test_ok:   0/52
Epoch:   17 Error:  25.49149, train_ok:   0/204, test_ok:   0/52
Epoch:   18 Error:  26.04793, train_ok:   0/204, test_ok:   0/52
Epoch:   19 Error:  25.92089, train_ok:   0/204, test_ok:   0/52
Epoch:   20 Error:  26.71709, train_ok:   0/204, test_ok:   0/52
Epoch:   21 Error:  25.63217, train_ok:   0/204, test_ok:   0/52
Epoch:   22 Error:  27.93732, train_ok:   0/204, test_ok:   0/52
Epoch:   23 Error:  28.73064, train_ok:   0/204, test_ok:   0/52
Epoch:   24 Error:  27.51862, train_ok:   0/204, test_ok:   0/52
Epoch:   25 Error:  25.48758, train_ok:   0/204, test_ok:   0/52
Epoch:   26 Error:  25.49965, train_ok:   0/204, test_ok:   0/52
Epoch:   27 Error:  25.50435, train_ok:   0/204, test_ok:   0/52
Epoch:   28 Error:  25.75299, train_ok:   0/204, test_ok:   0/52
Epoch:   29 Error:  25.63535, train_ok:   0/204, test_ok:   0/52
Epoch:   30 Error:  25.79573, train_ok:   0/204, test_ok:   0/52
Epoch:   31 Error:  26.46740, train_ok:   0/204, test_ok:   0/52
Epoch:   32 Error:  25.78072, train_ok:   0/204, test_ok:   0/52
Epoch:   33 Error:  27.19951, train_ok:   0/204, test_ok:   0/52
Epoch:   34 Error:  26.08666, train_ok:   0/204, test_ok:   0/52
Epoch:   35 Error:  25.49389, train_ok:   0/204, test_ok:   0/52
Epoch:   36 Error:  25.65912, train_ok:   0/204, test_ok:   0/52
Epoch:   37 Error:  27.55525, train_ok:   0/204, test_ok:   0/52
Epoch:   38 Error:  25.79544, train_ok:   0/204, test_ok:   0/52
Epoch:   39 Error:  25.47043, train_ok:   0/204, test_ok:   0/52
Epoch:   40 Error:  25.62385, train_ok:   0/204, test_ok:   0/52
Epoch:   41 Error:  28.22960, train_ok:   0/204, test_ok:   0/52
Epoch:   42 Error:  25.50926, train_ok:   0/204, test_ok:   0/52
Epoch:   43 Error:  28.75185, train_ok:   0/204, test_ok:   0/52
Epoch:   44 Error:  27.48136, train_ok:   0/204, test_ok:   0/52
Epoch:   45 Error:  25.85375, train_ok:   0/204, test_ok:   0/52
Epoch:   46 Error:  26.41161, train_ok:   0/204, test_ok:   0/52
Epoch:   47 Error:  27.39959, train_ok:   0/204, test_ok:   0/52
Epoch:   48 Error:  27.47052, train_ok:   0/204, test_ok:   0/52
Epoch:   49 Error:  28.17966, train_ok:   0/204, test_ok:   0/52
Epoch:   50 Error:  26.27447, train_ok:   0/204, test_ok:   0/52
Epoch:   51 Error:  25.41329, train_ok:   0/204, test_ok:   0/52
Epoch:   52 Error:  27.19522, train_ok:   0/204, test_ok:   0/52
Epoch:   53 Error:  25.63675, train_ok:   0/204, test_ok:   0/52
Epoch:   54 Error:  28.95169, train_ok:   0/204, test_ok:   0/52
Epoch:   55 Error:  25.67182, train_ok:   0/204, test_ok:   0/52
Epoch:   56 Error:  25.42140, train_ok:   0/204, test_ok:   0/52
Epoch:   57 Error:  25.46752, train_ok:   0/204, test_ok:   0/52
Epoch:   58 Error:  26.41635, train_ok:   0/204, test_ok:   0/52
Epoch:   59 Error:  25.53460, train_ok:   0/204, test_ok:   0/52
Epoch:   60 Error:  26.95579, train_ok:   0/204, test_ok:   0/52
Epoch:   61 Error:  26.24504, train_ok:   0/204, test_ok:   0/52
Epoch:   62 Error:  31.23019, train_ok:   0/204, test_ok:   0/52
Epoch:   63 Error:  25.38549, train_ok:   0/204, test_ok:   0/52
Epoch:   64 Error:  26.32778, train_ok:   0/204, test_ok:   0/52
Epoch:   65 Error:  25.58276, train_ok:   0/204, test_ok:   0/52
Epoch:   66 Error:  25.36002, train_ok:   0/204, test_ok:   0/52
Epoch:   67 Error:  25.32099, train_ok:   0/204, test_ok:   0/52
Epoch:   68 Error:  25.63886, train_ok:   0/204, test_ok:   0/52
Epoch:   69 Error:  25.95786, train_ok:   0/204, test_ok:   0/52
Epoch:   70 Error:  25.50654, train_ok:   0/204, test_ok:   0/52
Epoch:   71 Error:  25.15221, train_ok:   0/204, test_ok:   0/52
Epoch:   72 Error:  26.62503, train_ok:   0/204, test_ok:   0/52
Epoch:   73 Error:  25.59522, train_ok:   1/204, test_ok:   0/52
Epoch:   74 Error:  25.31901, train_ok:   0/204, test_ok:   0/52
Epoch:   75 Error:  25.71611, train_ok:   1/204, test_ok:   0/52
Epoch:   76 Error:  25.54347, train_ok:   2/204, test_ok:   0/52
Epoch:   77 Error:  26.50000, train_ok:   0/204, test_ok:   0/52
Epoch:   78 Error:  24.98506, train_ok:   0/204, test_ok:   0/52
Epoch:   79 Error:  24.30378, train_ok:   2/204, test_ok:   0/52
Epoch:   80 Error:  24.21293, train_ok:   2/204, test_ok:   0/52
Epoch:   81 Error:  23.66930, train_ok:   7/204, test_ok:   1/52
Epoch:   82 Error:  23.61219, train_ok:   6/204, test_ok:   0/52
Epoch:   83 Error:  25.41534, train_ok:   7/204, test_ok:   1/52
Epoch:   84 Error:  29.04920, train_ok:  25/204, test_ok:   4/52
Epoch:   85 Error:  22.90426, train_ok:   7/204, test_ok:   1/52
Epoch:   86 Error:  23.51791, train_ok:   7/204, test_ok:   1/52
Epoch:   87 Error:  25.37004, train_ok:   6/204, test_ok:   1/52
Epoch:   88 Error:  28.29827, train_ok:   7/204, test_ok:   1/52
Epoch:   89 Error:  21.26651, train_ok:   7/204, test_ok:   1/52
Epoch:   90 Error:  20.65198, train_ok:   3/204, test_ok:   0/52
Epoch:   91 Error:  21.42853, train_ok:   2/204, test_ok:   0/52
Epoch:   92 Error:  27.41409, train_ok:   0/204, test_ok:   0/52
Epoch:   93 Error:  25.23805, train_ok:   0/204, test_ok:   0/52
Epoch:   94 Error:  25.00897, train_ok:   0/204, test_ok:   0/52
Epoch:   95 Error:  21.77698, train_ok:   0/204, test_ok:   0/52
Epoch:   96 Error:  22.21406, train_ok:   0/204, test_ok:   0/52
Epoch:   97 Error:  19.66912, train_ok:   0/204, test_ok:   0/52
Epoch:   98 Error:  21.09205, train_ok:  36/204, test_ok:   4/52
Epoch:   99 Error:  19.83805, train_ok:   0/204, test_ok:   0/52
Epoch:  100 Error:  23.03480, train_ok:  55/204, test_ok:  11/52
Epoch:  101 Error:  15.02300, train_ok:  25/204, test_ok:   2/52
Epoch:  102 Error:  15.13010, train_ok:  52/204, test_ok:  13/52
Epoch:  103 Error:  15.07892, train_ok:  54/204, test_ok:  13/52
Epoch:  104 Error:  13.48431, train_ok:  82/204, test_ok:  17/52
Epoch:  105 Error:  12.64211, train_ok:  85/204, test_ok:  18/52
Epoch:  106 Error:  12.83079, train_ok:  98/204, test_ok:  21/52
Epoch:  107 Error:  13.95945, train_ok:  68/204, test_ok:  19/52
Epoch:  108 Error:  13.43540, train_ok:  83/204, test_ok:  20/52
Epoch:  109 Error:  17.55289, train_ok:  80/204, test_ok:  22/52
Epoch:  110 Error:  12.65025, train_ok:  90/204, test_ok:  20/52
Epoch:  111 Error:  12.77468, train_ok:  92/204, test_ok:  23/52
Epoch:  112 Error:  12.63313, train_ok: 124/204, test_ok:  32/52
Epoch:  113 Error:  12.38008, train_ok:  98/204, test_ok:  25/52
Epoch:  114 Error:  12.72803, train_ok:  98/204, test_ok:  24/52
Epoch:  115 Error:  13.62509, train_ok: 100/204, test_ok:  26/52
Epoch:  116 Error:  13.95833, train_ok: 101/204, test_ok:  26/52
Epoch:  117 Error:  12.68250, train_ok: 101/204, test_ok:  26/52
Epoch:  118 Error:  13.12435, train_ok: 101/204, test_ok:  26/52
Epoch:  119 Error:  12.88962, train_ok: 100/204, test_ok:  26/52
Epoch:  120 Error:  12.90695, train_ok: 101/204, test_ok:  26/52
Epoch:  121 Error:  12.15852, train_ok: 106/204, test_ok:  28/52
Epoch:  122 Error:  12.14375, train_ok: 101/204, test_ok:  26/52
Epoch:  123 Error:  11.62580, train_ok: 105/204, test_ok:  26/52
Epoch:  124 Error:  11.14215, train_ok:  98/204, test_ok:  25/52
Epoch:  125 Error:  12.54145, train_ok: 110/204, test_ok:  29/52
Epoch:  126 Error:  10.14912, train_ok: 102/204, test_ok:  26/52
Epoch:  127 Error:  12.85948, train_ok:  73/204, test_ok:  19/52
Epoch:  128 Error:  11.02773, train_ok: 125/204, test_ok:  28/52
Epoch:  129 Error:  12.21842, train_ok: 112/204, test_ok:  29/52
Epoch:  130 Error:  18.64421, train_ok:  63/204, test_ok:  17/52
Epoch:  131 Error:  17.64090, train_ok:  69/204, test_ok:  17/52
Epoch:  132 Error:  18.72308, train_ok:  68/204, test_ok:  15/52
Epoch:  133 Error:  10.61141, train_ok:  79/204, test_ok:  20/52
Epoch:  134 Error:  11.63597, train_ok:  90/204, test_ok:  22/52
Epoch:  135 Error:  10.03017, train_ok:  90/204, test_ok:  22/52
Epoch:  136 Error:   9.94455, train_ok:  89/204, test_ok:  22/52
Epoch:  137 Error:  10.09955, train_ok:  88/204, test_ok:  20/52
Epoch:  138 Error:   9.71906, train_ok:  90/204, test_ok:  22/52
Epoch:  139 Error:  10.01983, train_ok:  90/204, test_ok:  22/52
Epoch:  140 Error:   9.73356, train_ok:  91/204, test_ok:  22/52
Epoch:  141 Error:   9.62465, train_ok:  95/204, test_ok:  22/52
Epoch:  142 Error:  11.24446, train_ok:  95/204, test_ok:  24/52
Epoch:  143 Error:   8.58375, train_ok:  97/204, test_ok:  21/52
Epoch:  144 Error:   8.77927, train_ok: 101/204, test_ok:  22/52
Epoch:  145 Error:   8.69804, train_ok: 101/204, test_ok:  23/52
Epoch:  146 Error:   8.70691, train_ok: 101/204, test_ok:  23/52
Epoch:  147 Error:   8.33260, train_ok: 102/204, test_ok:  24/52
Epoch:  148 Error:   7.92811, train_ok: 112/204, test_ok:  27/52
Epoch:  149 Error:   8.11266, train_ok: 138/204, test_ok:  32/52
Epoch:  150 Error:   7.22609, train_ok: 113/204, test_ok:  28/52
Epoch:  151 Error:   7.29256, train_ok: 124/204, test_ok:  30/52
Epoch:  152 Error:   7.14483, train_ok: 121/204, test_ok:  30/52
Epoch:  153 Error:   7.58233, train_ok: 118/204, test_ok:  30/52
Epoch:  154 Error:   6.26933, train_ok: 147/204, test_ok:  34/52
Epoch:  155 Error:   7.60690, train_ok: 138/204, test_ok:  33/52
Epoch:  156 Error:   7.68047, train_ok: 129/204, test_ok:  32/52
Epoch:  157 Error:   7.24330, train_ok: 129/204, test_ok:  32/52
Epoch:  158 Error:   6.68135, train_ok: 129/204, test_ok:  32/52
Epoch:  159 Error:   7.18187, train_ok: 114/204, test_ok:  28/52
Epoch:  160 Error:   7.35176, train_ok: 129/204, test_ok:  32/52
Epoch:  161 Error:   8.18946, train_ok: 139/204, test_ok:  32/52
Epoch:  162 Error:   8.21852, train_ok:  93/204, test_ok:  22/52
Epoch:  163 Error:   6.01411, train_ok: 109/204, test_ok:  27/52
Epoch:  164 Error:   4.25595, train_ok: 128/204, test_ok:  29/52
Epoch:  165 Error:   3.59905, train_ok: 147/204, test_ok:  34/52
Epoch:  166 Error:   3.40294, train_ok: 146/204, test_ok:  34/52
Epoch:  167 Error:   3.12893, train_ok: 131/204, test_ok:  30/52
Epoch:  168 Error:   2.97007, train_ok: 175/204, test_ok:  41/52
Epoch:  169 Error:   2.22133, train_ok: 170/204, test_ok:  40/52
Epoch:  170 Error:   2.20442, train_ok: 165/204, test_ok:  40/52
Epoch:  171 Error:   1.95466, train_ok: 160/204, test_ok:  40/52
Epoch:  172 Error:   3.34471, train_ok: 195/204, test_ok:  48/52
Epoch:  173 Error:   1.67809, train_ok: 175/204, test_ok:  42/52
Epoch:  174 Error:   1.70395, train_ok: 175/204, test_ok:  42/52
Epoch:  175 Error:   1.15572, train_ok: 191/204, test_ok:  47/52
Epoch:  176 Error:   3.13703, train_ok: 183/204, test_ok:  47/52
Epoch:  177 Error:   1.74950, train_ok: 175/204, test_ok:  42/52
Epoch:  178 Error:   0.66950, train_ok: 196/204, test_ok:  48/52
Epoch:  179 Error:   1.35780, train_ok: 175/204, test_ok:  42/52
Epoch:  180 Error:   0.48639, train_ok: 175/204, test_ok:  42/52
Epoch:  181 Error:   0.38400, train_ok: 196/204, test_ok:  48/52
Epoch:  182 Error:   0.33797, train_ok: 195/204, test_ok:  48/52
Epoch:  183 Error:   0.31976, train_ok: 196/204, test_ok:  48/52
Epoch:  184 Error:   0.29137, train_ok: 196/204, test_ok:  48/52
Epoch:  185 Error:   0.27814, train_ok: 196/204, test_ok:  48/52
Epoch:  186 Error:   0.25538, train_ok: 196/204, test_ok:  48/52
Epoch:  187 Error:   0.24292, train_ok: 196/204, test_ok:  48/52
Epoch:  188 Error:   0.22813, train_ok: 196/204, test_ok:  48/52
Epoch:  189 Error:   0.21808, train_ok: 196/204, test_ok:  48/52
Epoch:  190 Error:   0.20873, train_ok: 195/204, test_ok:  47/52
Epoch:  191 Error:   0.19732, train_ok: 196/204, test_ok:  48/52
Epoch:  192 Error:   0.19041, train_ok: 196/204, test_ok:  48/52
Epoch:  193 Error:   0.18122, train_ok: 204/204, test_ok:  48/52
Epoch:  194 Error:   0.17413, train_ok: 204/204, test_ok:  48/52
Epoch:  195 Error:   0.16782, train_ok: 204/204, test_ok:  48/52
Epoch:  196 Error:   0.16142, train_ok: 204/204, test_ok:  48/52
Epoch:  197 Error:   0.15588, train_ok: 204/204, test_ok:  48/52
Epoch:  198 Error:   0.15059, train_ok: 204/204, test_ok:  48/52
Epoch:  199 Error:   0.14592, train_ok: 204/204, test_ok:  48/52
Epoch:  200 Error:   0.14166, train_ok: 204/204, test_ok:  48/52
Epoch:  201 Error:   0.13699, train_ok: 204/204, test_ok:  48/52
Epoch:  202 Error:   0.13306, train_ok: 204/204, test_ok:  48/52
Epoch:  203 Error:   0.12931, train_ok: 204/204, test_ok:  48/52
Epoch:  204 Error:   0.12566, train_ok: 204/204, test_ok:  48/52
Epoch:  205 Error:   0.12276, train_ok: 204/204, test_ok:  48/52
Epoch:  206 Error:   0.11916, train_ok: 204/204, test_ok:  48/52
Epoch:  207 Error:   0.11616, train_ok: 204/204, test_ok:  48/52
Epoch:  208 Error:   0.11334, train_ok: 204/204, test_ok:  48/52
Epoch:  209 Error:   0.11054, train_ok: 204/204, test_ok:  48/52
Epoch:  210 Error:   0.10811, train_ok: 204/204, test_ok:  48/52
Epoch:  211 Error:   0.10552, train_ok: 204/204, test_ok:  48/52
Epoch:  212 Error:   0.10316, train_ok: 204/204, test_ok:  48/52
Epoch:  213 Error:   0.10088, train_ok: 204/204, test_ok:  48/52
Epoch:  214 Error:   0.09872, train_ok: 204/204, test_ok:  48/52
