Epoch:    1 Error:  28.71653, train_ok:   0/204, test_ok:   0/52
Epoch:    2 Error:  27.15297, train_ok:   0/204, test_ok:   0/52
Epoch:    3 Error:  27.99677, train_ok:   0/204, test_ok:   0/52
Epoch:    4 Error:  25.54725, train_ok:   0/204, test_ok:   0/52
Epoch:    5 Error:  25.65567, train_ok:   0/204, test_ok:   0/52
Epoch:    6 Error:  25.47378, train_ok:   0/204, test_ok:   0/52
Epoch:    7 Error:  26.90476, train_ok:   0/204, test_ok:   0/52
Epoch:    8 Error:  25.35569, train_ok:   0/204, test_ok:   0/52
Epoch:    9 Error:  26.09872, train_ok:   0/204, test_ok:   0/52
Epoch:   10 Error:  25.40375, train_ok:   0/204, test_ok:   0/52
Epoch:   11 Error:  26.93306, train_ok:   0/204, test_ok:   0/52
Epoch:   12 Error:  25.42605, train_ok:   0/204, test_ok:   0/52
Epoch:   13 Error:  25.54698, train_ok:   0/204, test_ok:   0/52
Epoch:   14 Error:  26.92297, train_ok:   0/204, test_ok:   0/52
Epoch:   15 Error:  25.36692, train_ok:   0/204, test_ok:   0/52
Epoch:   16 Error:  25.88958, train_ok:   0/204, test_ok:   0/52
Epoch:   17 Error:  25.29885, train_ok:   0/204, test_ok:   0/52
Epoch:   18 Error:  25.85012, train_ok:   0/204, test_ok:   0/52
Epoch:   19 Error:  25.66999, train_ok:   0/204, test_ok:   0/52
Epoch:   20 Error:  26.52495, train_ok:   0/204, test_ok:   0/52
Epoch:   21 Error:  25.35303, train_ok:   0/204, test_ok:   0/52
Epoch:   22 Error:  27.94696, train_ok:   0/204, test_ok:   0/52
Epoch:   23 Error:  28.73302, train_ok:   0/204, test_ok:   0/52
Epoch:   24 Error:  27.36060, train_ok:   0/204, test_ok:   0/52
Epoch:   25 Error:  25.20752, train_ok:   0/204, test_ok:   0/52
Epoch:   26 Error:  25.22403, train_ok:   0/204, test_ok:   0/52
Epoch:   27 Error:  25.18557, train_ok:   0/204, test_ok:   0/52
Epoch:   28 Error:  25.40458, train_ok:   0/204, test_ok:   0/52
Epoch:   29 Error:  25.24427, train_ok:   0/204, test_ok:   0/52
Epoch:   30 Error:  25.40546, train_ok:   0/204, test_ok:   0/52
Epoch:   31 Error:  26.17510, train_ok:   0/204, test_ok:   0/52
Epoch:   32 Error:  25.48824, train_ok:   0/204, test_ok:   0/52
Epoch:   33 Error:  27.13558, train_ok:   0/204, test_ok:   0/52
Epoch:   34 Error:  25.76294, train_ok:   0/204, test_ok:   0/52
Epoch:   35 Error:  25.15355, train_ok:   0/204, test_ok:   0/52
Epoch:   36 Error:  25.25676, train_ok:   0/204, test_ok:   0/52
Epoch:   37 Error:  27.42459, train_ok:   0/204, test_ok:   0/52
Epoch:   38 Error:  25.60546, train_ok:   0/204, test_ok:   0/52
