Epoch:    1 Error:  26.53808, train_ok:   0/204, test_ok:   0/52
Epoch:    2 Error:  27.47432, train_ok:   0/204, test_ok:   0/52
Epoch:    3 Error:  25.19545, train_ok:   0/204, test_ok:   0/52
Epoch:    4 Error:  26.36355, train_ok:   0/204, test_ok:   0/52
Epoch:    5 Error:  25.22280, train_ok:   0/204, test_ok:   0/52
Epoch:    6 Error:  25.08606, train_ok:   0/204, test_ok:   0/52
Epoch:    7 Error:  26.96912, train_ok:   0/204, test_ok:   0/52
Epoch:    8 Error:  24.97133, train_ok:   0/204, test_ok:   0/52
Epoch:    9 Error:  25.60235, train_ok:   0/204, test_ok:   0/52
Epoch:   10 Error:  25.49712, train_ok:   0/204, test_ok:   0/52
Epoch:   11 Error:  24.86329, train_ok:   0/204, test_ok:   0/52
Epoch:   12 Error:  24.88862, train_ok:   0/204, test_ok:   0/52
Epoch:   13 Error:  26.00673, train_ok:   0/204, test_ok:   0/52
Epoch:   14 Error:  25.25835, train_ok:   0/204, test_ok:   0/52
Epoch:   15 Error:  24.71064, train_ok:   0/204, test_ok:   0/52
Epoch:   16 Error:  24.69392, train_ok:   0/204, test_ok:   0/52
Epoch:   17 Error:  25.41514, train_ok:   0/204, test_ok:   0/52
Epoch:   18 Error:  24.64485, train_ok:   0/204, test_ok:   0/52
Epoch:   19 Error:  25.05381, train_ok:   0/204, test_ok:   0/52
Epoch:   20 Error:  24.67430, train_ok:   0/204, test_ok:   0/52
Epoch:   21 Error:  24.62626, train_ok:   0/204, test_ok:   0/52
Epoch:   22 Error:  25.22680, train_ok:   0/204, test_ok:   0/52
Epoch:   23 Error:  24.58105, train_ok:   0/204, test_ok:   0/52
Epoch:   24 Error:  25.06027, train_ok:   0/204, test_ok:   0/52
Epoch:   25 Error:  24.56815, train_ok:   0/204, test_ok:   0/52
Epoch:   26 Error:  25.73715, train_ok:   0/204, test_ok:   0/52
Epoch:   27 Error:  24.53019, train_ok:   0/204, test_ok:   0/52
Epoch:   28 Error:  24.51267, train_ok:   0/204, test_ok:   0/52
Epoch:   29 Error:  24.87393, train_ok:   0/204, test_ok:   0/52
Epoch:   30 Error:  25.15907, train_ok:   0/204, test_ok:   0/52
Epoch:   31 Error:  24.45880, train_ok:   0/204, test_ok:   0/52
Epoch:   32 Error:  24.97555, train_ok:   0/204, test_ok:   0/52
